Geography,Total Civilian Noninstitutionalized Population,Avg-Median age in years,Total Households Estimate,Prop Family households,Prop Nonfamily households,Average household size,Average family size,Gps living with gcs under 18 years,Prop  Gps caring for gc over 18,Number of Veterans,Veterans as Prop of population,Unemployed veterans Prop of labour force,Hispani or Latino,Hispanic/Latino Prop,White,White Prop,Black Estimate,Black Prop,Native American/Alaskan,Native American/Alaskan Prop,Asian,Asian Prop,Native Hawaiian/Pacific Islander,Native Hawaiian/Pacific Islander Prop,"Other Race Only, Not Hispanic/Latino","Other Race Only, Not Hispanic/Latino Prop","Two or more races alone, Not Hispanic or Latino Estimate","Two or more races alone, Not Hispanic or Latino Prop",Prop Native Born,Prop Foreign born,Prop of Foreign Born who are Naturalized U.S. citizen,Pop 5 years +,Pop 5 years + foreign language at home,Pop 5 years + w/ poor English
Buena Park city,82826,35.5,23627,80,20,3.47,3.78,N,N,2688,4.2,0,34359,41.4,20726,25,3900,4.7,106,0.1,21721,26.2,273,0.3,0,0,1941,2.3,63.4,36.6,46.6,78699,58.1,23.4
Costa Mesa city,113142,34.6,40927,61.6,38.4,2.73,3.34,N,N,4449,4.9,1.7,40028,35.2,58074,51,1844,1.6,170,0.1,8681,7.6,1594,1.4,165,0.1,3265,2.9,78.1,21.9,46.5,107438,38.4,13.3
Fullerton city,139430,36.4,45632,70.1,29.9,3,3.51,N,N,6768,6.2,1,56183,40,41725,29.7,3530,2.5,214,0.2,34064,24.3,412,0.3,234,0.2,4040,2.9,70.1,29.9,52.8,130703,45.7,19.2
Garden Grove city,173407,39.6,48036,79.9,20.1,3.59,3.92,7215,14.1,4784,3.4,2.6,58057,33.3,34606,19.9,1257,0.7,493,0.3,77288,44.4,130,0.1,0,0,2397,1.4,55.6,44.4,69.1,165677,67.9,35.7
Huntington Beach city,201298,42.8,77155,66.1,33.9,2.6,3.11,N,N,10818,6.7,8.5,37664,18.7,129309,64.1,2675,1.3,457,0.2,23122,11.5,96,0,1461,0.7,7098,3.5,84.2,15.8,64.9,190106,22.2,6.4
Irvine city,277245,34.1,97161,67.9,32.1,2.78,3.24,N,N,4958,2.3,0,29443,10.6,114664,41.3,5048,1.8,456,0.2,114317,41.2,838,0.3,152,0.1,12518,4.5,60,40,51.8,261958,51.3,17
Laguna Niguel city,66309,48.8,26133,70.9,29.1,2.52,2.97,N,N,2493,4.7,0,6536,9.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,75.7,24.3,74.4,63617,30.1,11.6
Lake Forest city,84161,38.9,29519,68.9,31.1,2.84,3.3,N,N,3220,4.7,17.5,19200,22.8,41989,49.8,1378,1.6,737,0.9,18214,21.6,0,0,68,0.1,2722,3.2,74.6,25.4,60.1,80182,32.5,9.8
Mission Viejo city,95578,44.7,33936,76.1,23.9,2.78,3.15,N,N,6140,8,0,14544,15.1,65086,67.8,1098,1.1,611,0.6,11129,11.6,0,0,132,0.1,3409,3.6,80.5,19.5,70.2,91129,22.9,8
Newport Beach city,85898,49.6,37968,57.4,42.6,2.26,2.93,N,N,4236,6,23.6,6122,7.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,87.9,12.1,78.2,82564,11.3,2.6
Orange city,136749,35.2,42663,72.1,27.9,3.13,3.43,N,N,4502,4,0,56866,40.5,63066,44.9,1434,1,252,0.2,15686,11.2,155,0.1,185,0.1,2913,2.1,76.4,23.6,45.9,133673,42.2,14.4
San Clemente city,65153,48,25366,72.1,27.9,2.56,2.98,N,N,3159,6,0,11311,17.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,86.6,13.4,57.2,62652,18,8.6
Santa Ana city,331778,32,76650,79.5,20.5,4.31,4.6,15767,11.5,4438,1.8,15.2,255464,76.5,33676,10.1,2168,0.6,199,0.1,39427,11.8,1185,0.4,121,0,1895,0.6,56.4,43.6,37.5,308477,80.4,42.9
Tustin city,80191,35.9,27780,67,33,2.86,3.53,N,N,3071,5.1,0,28966,36,23987,29.8,3781,4.7,178,0.2,20517,25.5,0,0,45,0.1,3028,3.8,67.5,32.5,61.7,74608,50.9,15.1
Westminster city,91290,42,28876,74.8,25.2,3.16,3.71,N,N,2484,3.4,0,22147,24.2,20157,22,816,0.9,423,0.5,46032,50.3,118,0.1,0,0,1855,2,53.9,46.1,79.3,87424,64,36.2
Yorba Linda city,68102,44.6,22410,85,15,3.03,3.3,N,N,2750,5.2,0,9857,14.4,41572,60.9,747,1.1,0,0,14127,20.7,130,0.2,0,0,1801,2.6,82.2,17.8,77.7,64922,20.9,6.9
Placer County,383639,42.1,143659,71.6,28.4,2.66,3.14,7626,21,25948,8.7,3.4,54239,14,280586,72.7,5951,1.5,1762,0.5,29242,7.6,211,0.1,496,0.1,13679,3.5,87.9,12.1,64.9,365842,14.7,4.4
Roseville city,134617,39.3,50198,71.5,28.5,2.68,3.17,N,N,7342,7.1,9,20720,15.3,93120,68.8,2880,2.1,855,0.6,13488,10,0,0,87,0.1,4175,3.1,85.9,14.1,62.2,128039,16.8,4
Riverside County,2400720,35.6,718733,72.4,27.6,3.32,3.95,89658,18.1,122152,6.8,5.3,1188993,49.1,851484,35.1,147495,6.1,11358,0.5,155732,6.4,4664,0.2,8014,0.3,55526,2.3,78.8,21.2,49.8,2264417,40.7,15.4
Corona city,167026,33,47942,77.4,22.6,3.48,3.97,N,N,5713,4.7,2.6,72205,43,61590,36.7,13150,7.8,295,0.2,15079,9,616,0.4,621,0.4,4287,2.6,78.2,21.8,51.8,156630,37.7,12.7
Hemet city,84315,39.7,29725,62.7,37.3,2.84,3.67,N,N,8221,13,14.1,40655,47.7,35005,41.1,4775,5.6,260,0.3,2642,3.1,18,0,66,0.1,1732,2,85,15,47.7,79829,31.4,10.4
