Geography,Total Civilian Noninstitutionalized Population,Avg-Median age in years,Total Households Estimate,Prop Family households,Prop Nonfamily households,Average household size,Average family size,Gps living with gcs under 18 years,Prop  Gps caring for gc over 18,Number of Veterans,Veterans as Prop of population,Unemployed veterans Prop of labour force,Hispani or Latino,Hispanic/Latino Prop,White,White Prop,Black Estimate,Black Prop,Native American/Alaskan,Native American/Alaskan Prop,Asian,Asian Prop,Native Hawaiian/Pacific Islander,Native Hawaiian/Pacific Islander Prop,"Other Race Only, Not Hispanic/Latino","Other Race Only, Not Hispanic/Latino Prop","Two or more races alone, Not Hispanic or Latino Estimate","Two or more races alone, Not Hispanic or Latino Prop",Prop Native Born,Prop Foreign born,Prop of Foreign Born who are Naturalized U.S. citizen,Pop 5 years +,Pop 5 years + foreign language at home,Pop 5 years + w/ poor English
Santa Barbara city,91712,39.1,40145,45.2,54.8,2.26,2.97,N,N,3742,4.7,0,29422,31.9,55103,59.8,2055,2.2,166,0.2,3347,3.6,0,0,113,0.1,1893,2.1,81.5,18.5,42.1,89841,30.7,12.3
Santa Maria city,106546,30,27968,77.6,22.4,3.79,4.17,5073,40.4,3627,4.9,0,81063,75.7,16689,15.6,952,0.9,294,0.3,6152,5.7,0,0,301,0.3,1567,1.5,64.9,35.1,28.4,96032,65,33.6
Santa Clara County,1928741,37.1,633811,71.8,28.2,3,3.47,54642,12.6,50651,3.4,5,496020,25.6,607855,31.4,47234,2.4,3797,0.2,702503,36.2,5388,0.3,5727,0.3,69629,3.6,60.5,39.5,53.5,1820441,53.5,20.3
Milpitas city,76213,34.9,22128,84.3,15.7,3.44,3.73,N,N,1618,2.8,7.9,11846,15.2,8848,11.3,4616,5.9,16,0,48195,61.7,535,0.7,0,0,4052,5.2,50.5,49.5,61.9,72569,68.1,24.1
Mountain View city,81307,34.5,33177,53.6,46.4,2.45,3.19,N,N,1745,2.6,0,15096,18.5,32445,39.8,678,0.8,0,0,30209,37.1,0,0,237,0.3,2778,3.4,52,48,34.9,76395,53,16.7
Palo Alto city,66749,39.8,25439,66.4,33.6,2.62,3.15,N,N,1594,3.1,0,3947,5.9,36954,55,1523,2.3,82,0.1,22124,32.9,0,0,297,0.4,2243,3.3,66,34,59.3,64276,36.2,8.1
San Jose city,1031513,36.8,321913,73.2,26.8,3.17,3.62,37817,13.2,26206,3.2,3.5,332603,32.1,267315,25.8,28126,2.7,1957,0.2,366134,35.4,4232,0.4,2869,0.3,32117,3.1,59.7,40.3,57.4,970923,57.5,24.8
Santa Clara city,126820,34.3,43159,69.5,30.5,2.83,3.24,N,N,3121,3,14.9,20095,15.8,37576,29.6,5296,4.2,0,0,57246,45,209,0.2,120,0.1,6589,5.2,55.2,44.8,41.5,117789,54.2,13.9
Sunnyvale city,153072,36.1,55024,69.2,30.8,2.77,3.21,N,N,3459,2.8,0,23945,15.6,46505,30.3,2609,1.7,527,0.3,72773,47.4,271,0.2,1071,0.7,5955,3.9,51.4,48.6,36.8,143255,60,22.1
Santa Cruz County,274486,37.8,95940,64.1,35.9,2.74,3.3,N,N,9677,4.3,3.2,93586,33.9,157205,57,2324,0.8,423,0.2,12970,4.7,85,0,587,0.2,8717,3.2,80.5,19.5,38.8,262289,32,12.1
Santa Cruz city,64599,30.9,23585,47.1,52.9,2.32,2.78,N,N,2124,3.7,0,13399,20.6,40928,62.9,831,1.3,86,0.1,6957,10.7,38,0.1,310,0.5,2479,3.8,80.6,19.4,41.9,63592,28,7.5
Shasta County,178508,42.2,71968,66.1,33.9,2.46,2.93,N,N,13417,9.5,9.6,18190,10.1,143115,79.5,2809,1.6,5413,3,5435,3,141,0.1,223,0.1,4595,2.6,94,6,39.4,169532,7.3,2.7
Redding city,90659,37.9,38036,60.4,39.6,2.35,2.91,N,N,5575,7.7,10.3,10935,11.9,69895,76.1,1183,1.3,2367,2.6,4440,4.8,0,0,223,0.2,2745,3,91.4,8.6,36.4,86767,9.5,3.4
Solano County,432898,37.8,151127,70.9,29.1,2.88,3.38,13918,23.7,33672,9.8,3.2,118198,26.5,168646,37.9,59298,13.3,1080,0.2,69578,15.6,4091,0.9,1783,0.4,22784,5.1,79.6,20.4,59.2,418688,30.6,13
Fairfield city,113183,34.7,37324,76,24,3.06,3.51,4041,24.4,7459,8.9,0.7,29069,25,36788,31.6,18588,16,706,0.6,21634,18.6,2020,1.7,597,0.5,6878,5.9,78.6,21.4,61,107117,32.1,12.6
Vacaville city,91886,39.7,34017,68.6,31.4,2.74,3.21,N,N,9081,11.5,6.7,28956,28.9,48935,48.9,9564,9.6,87,0.1,6005,6,646,0.6,93,0.1,5737,5.7,87.1,12.9,47.4,94974,21.1,8.2
Vallejo city,121457,36.5,41719,66.6,33.4,2.89,3.62,N,N,7544,8,3.5,34139,28,29394,24.1,23578,19.3,0,0,27958,22.9,1136,0.9,742,0.6,5139,4.2,74.5,25.5,61.5,114085,39.3,17.4
Sonoma County,500585,41.8,188829,63,37,2.63,3.24,8853,19.1,26819,6.6,1.6,136100,27,313301,62.1,8133,1.6,3324,0.7,20079,4,1755,0.3,5560,1.1,15965,3.2,83.3,16.7,43.1,478876,26.5,10.7
Santa Rosa city,173666,38.5,64155,61.2,38.8,2.68,3.39,N,N,8516,6.2,2.5,56953,32.5,93399,53.3,5359,3.1,1967,1.1,9162,5.2,1585,0.9,1559,0.9,5285,3,78.8,21.2,38.4,164871,31.5,14.5
Stanislaus County,544767,34.1,173573,75,25,3.13,3.65,15415,21.7,19679,4.9,5.1,253776,46.3,229491,41.9,16199,3,1774,0.3,28738,5.2,3406,0.6,51,0,14464,2.6,78.4,21.6,46.8,508633,44.2,17.9
Modesto city,212667,35.8,72621,70.6,29.4,2.91,3.52,4825,31.8,7768,4.8,2,84494,39.4,95067,44.4,10297,4.8,760,0.4,14313,6.7,3159,1.5,51,0,6079,2.8,79.6,20.4,51.4,201024,39.1,15.8
Turlock city,73095,34.5,25562,71.4,28.6,2.85,3.34,N,N,2228,4,23,28887,39.3,35965,48.9,870,1.2,155,0.2,5224,7.1,70,0.1,0,0,2391,3.3,77.3,22.7,51.3,68939,43.6,15.5
Sutter County,95104,35.8,31945,67.6,32.4,2.99,3.72,5192,15,6114,8.6,10,29999,31,44416,46,1955,2,1032,1.1,15996,16.6,407,0.4,280,0.3,2563,2.7,77.9,22.1,55.2,90177,37.9,14.6
Yuba City city,65543,34.5,22172,64.8,35.2,2.97,3.79,N,N,3598,7.3,17.3,20236,30.3,27554,41.2,1887,2.8,819,1.2,13897,20.8,86,0.1,280,0.4,2113,3.2,74.8,25.2,55.7,61858,41.8,16.3
Tulare County,460812,30.9,137576,77.3,22.7,3.34,3.79,14210,21.3,13566,4.2,1.6,300646,64.7,131717,28.4,6308,1.4,3058,0.7,13483,2.9,334,0.1,559,0.1,8388,1.8,78.1,21.9,34.7,426021,52,29.3
Visalia city,132129,31.2,43785,71.2,28.8,3,3.62,N,N,5928,6.3,2,71379,53.7,47865,36,2962,2.2,588,0.4,6656,5,0,0,67,0.1,3492,2.6,86.5,13.5,49.1,122596,34.7,15.8
Ventura County,847390,38.2,272085,71.8,28.2,3.09,3.63,26517,17.9,40735,6.2,3.5,366266,42.9,385085,45.1,14356,1.7,2094,0.2,61477,7.2,837,0.1,1141,0.1,22967,2.7,78.4,21.6,52.5,802828,38.6,14.4
Camarillo city,67069,44,25361,71,29,2.65,3.14,N,N,4666,8.6,6.5,16268,24,38927,57.4,658,1,210,0.3,9204,13.6,437,0.6,0,0,2145,3.2,85.4,14.6,61.7,64820,23.3,5.7
Oxnard city,208887,32.6,52717,80.4,19.6,3.96,4.34,11208,22,7079,4.6,4.3,158708,75.6,27675,13.2,5148,2.5,852,0.4,14223,6.8,332,0.2,215,0.1,2885,1.4,65.8,34.2,43,194779,67.9,30.1
San Buenaventura (Ventura) city,109510,38.7,41338,60.7,39.3,2.64,3.36,N,N,6908,8,9.2,40492,36.6,61774,55.8,2624,2.4,222,0.2,2882,2.6,0,0,74,0.1,2716,2.5,85.1,14.9,57.9,104058,27.9,7.9
Simi Valley city,126619,39.7,40822,72.7,27.3,3.09,3.58,N,N,4324,4.4,2.7,32802,25.9,75315,59.4,1934,1.5,56,0,13297,10.5,0,0,169,0.1,3302,2.6,81,19,65.2,119602,28.8,9
Thousand Oaks city,128543,43.6,46017,68.4,31.6,2.76,3.33,N,N,7296,7.3,0,22144,17.2,88558,68.7,1347,1,131,0.1,11452,8.9,68,0.1,336,0.3,4936,3.8,84.6,15.4,69.7,122385,20.6,5.9
Yolo County,217937,31,73495,61.9,38.1,2.87,3.39,4556,15.4,8174,4.7,4.5,69602,31.8,101875,46.5,5378,2.5,705,0.3,28846,13.2,1078,0.5,207,0.1,11425,5.2,76.8,23.2,45.8,206834,37.8,13.8
Davis city,68789,25.1,23271,51.1,48.9,2.88,3.09,N,N,1697,2.9,10.5,9790,14.2,38546,55.9,1421,2.1,416,0.6,13768,20,120,0.2,207,0.3,4717,6.8,83.4,16.6,43.3,66084,21.3,6.1
Yuba County,75194,34,26228,68.1,31.9,2.89,3.5,N,N,5332,9.8,0,21808,28.3,41978,54.5,3296,4.3,1057,1.4,4593,6,297,0.4,306,0.4,3696,4.8,86.6,13.4,50.1,71050,27.1,7.7
